iter	MultiClass
0	1.680517906
1	1.596574941
2	1.519946089
3	1.452482971
4	1.398553573
5	1.350494385
6	1.307751994
7	1.270702484
8	1.237328309
9	1.205509413
10	1.177662947
11	1.153416031
12	1.129507457
13	1.107159915
14	1.088164317
15	1.070085797
16	1.05372045
17	1.038347214
18	1.021375976
19	1.008606593
20	0.9958373977
21	0.9849412795
22	0.9761366593
23	0.966325612
24	0.9576715024
25	0.9497804874
26	0.9407356922
27	0.9322723907
28	0.9242381843
29	0.9173935994
30	0.9111155405
31	0.9045451111
32	0.8985905342
33	0.8918992469
34	0.8866699982
35	0.8820968853
36	0.877340781
37	0.8742241088
38	0.8695074354
39	0.8648112114
40	0.8597700752
41	0.8558657592
42	0.851562897
43	0.8481316383
44	0.8439132087
45	0.8404478628
46	0.8367771631
47	0.834714598
48	0.8315638141
49	0.8277433322
50	0.8248733915
51	0.8215403401
52	0.8184079989
53	0.8149638772
54	0.8125313607
55	0.8082792133
56	0.803245071
57	0.799690179
58	0.7976667912
59	0.7967034029
60	0.7937238659
61	0.7912508015
62	0.7894455951
63	0.7855388841
64	0.783047819
65	0.7798745461
66	0.7769044426
67	0.7753359567
68	0.7735905694
69	0.7714347988
70	0.7696286186
71	0.7666920723
72	0.7643975748
73	0.7616447952
74	0.7590998551
75	0.7562287252
76	0.7533311609
77	0.7498543824
78	0.7473468517
79	0.7456535849
80	0.7439601812
81	0.7405559435
82	0.738578911
83	0.7360405488
84	0.7336727335
85	0.7321618934
86	0.7293370005
87	0.7277578757
88	0.725996562
89	0.7245507244
90	0.7217159163
91	0.7184904057
92	0.7163973307
93	0.715657237
94	0.7143240252
95	0.712743457
96	0.7112655843
97	0.7076340762
98	0.7060103545
99	0.7042328111
100	0.7021515471
101	0.699499923
102	0.69634574
103	0.6942817496
104	0.6921014493
105	0.690630038
106	0.6890435873
107	0.686583849
108	0.6843205024
109	0.6823431502
110	0.6799171756
111	0.6795085948
112	0.6780962825
113	0.6760431483
114	0.6741610553
115	0.6726533494
116	0.6712280073
117	0.6688764173
118	0.666115903
119	0.6633195738
120	0.6614322887
121	0.6594096036
122	0.658154079
123	0.6566273183
124	0.655189471
125	0.6533057651
126	0.6515683522
127	0.6502634657
128	0.6478248753
129	0.6462415916
130	0.6452425855
131	0.6439680597
132	0.6413094453
133	0.6384679394
134	0.6364092646
135	0.6349883918
136	0.6334178293
137	0.6317963046
138	0.6289836206
139	0.6275033929
140	0.6245487199
141	0.6220345466
142	0.6199215732
143	0.6170098022
144	0.6138380755
145	0.612459462
146	0.6102287009
147	0.6088552725
148	0.6075020201
149	0.604423703
150	0.6026482293
151	0.600775188
152	0.5989742675
153	0.5965281494
154	0.5949332585
155	0.5931180426
156	0.59184876
157	0.5898215118
158	0.5869372066
159	0.5858754844
160	0.5840650299
161	0.583359079
162	0.5808673948
163	0.5791569673
164	0.5772209458
165	0.5753555873
166	0.5740011754
167	0.5723883893
168	0.5705930862
169	0.5674196356
170	0.5658849172
171	0.5640790831
172	0.5625217205
173	0.5611580862
174	0.5595821735
175	0.55775165
176	0.5567398558
177	0.5553236099
178	0.5532206705
179	0.5513390267
180	0.5494690326
181	0.5480630795
182	0.5473818724
183	0.546190052
184	0.5449961962
185	0.5431462156
186	0.54208785
187	0.5412171879
188	0.540245805
189	0.5374251471
190	0.5362630833
191	0.5350149077
192	0.533262862
193	0.5317975998
194	0.530146879
195	0.5285851523
196	0.5274726091
197	0.5245162466
198	0.5227416594
199	0.5218704071
200	0.5201569282
201	0.5187143185
202	0.517325107
203	0.5162829794
204	0.5139665201
205	0.5126483862
206	0.5112682967
207	0.5101807108
208	0.5093409999
209	0.5082343442
210	0.5068884599
211	0.5056655758
212	0.5048723157
213	0.5033735587
214	0.5020202678
215	0.5012129188
216	0.4997331381
217	0.498430414
218	0.4967594564
219	0.4947342335
220	0.4935776303
221	0.4930887871
222	0.4918430404
223	0.4903718506
224	0.4897701733
225	0.4881931969
226	0.487117196
227	0.4858994558
228	0.484522643
229	0.4830212578
230	0.4820368213
231	0.4811279532
232	0.479313788
233	0.477540703
234	0.4765898643
235	0.4749513602
236	0.4729054643
237	0.4717898582
238	0.4703019675
239	0.4689858198
240	0.4678521463
241	0.4667277991
242	0.4660342121
243	0.4646410506
244	0.4630483116
245	0.4623620165
246	0.461802985
247	0.4597767092
248	0.4581499175
249	0.4567001378
250	0.4546060307
251	0.4539282574
252	0.4526975593
253	0.4516456358
254	0.4505785704
255	0.4492913598
256	0.4488984069
