iter	Passed	Remaining
0	2	2598
1	4	2223
2	6	2050
3	7	1966
4	9	1944
5	11	1892
6	13	1860
7	15	1873
8	17	1879
9	18	1871
10	20	1861
11	22	1873
12	24	1874
13	26	1862
14	28	1860
15	30	1860
16	32	1868
17	34	1868
18	36	1890
19	38	1886
20	40	1901
21	42	1896
22	44	1888
23	46	1895
24	48	1898
25	50	1891
26	52	1888
27	54	1882
28	56	1880
29	58	1876
30	59	1869
31	61	1863
32	64	1903
33	66	1894
34	68	1891
35	70	1887
36	72	1899
37	74	1896
38	77	1903
39	79	1899
40	81	1903
41	83	1898
42	85	1901
43	88	1915
44	90	1916
45	92	1924
46	94	1925
47	96	1923
48	99	1924
49	101	1920
50	104	1939
51	106	1934
52	107	1927
53	110	1929
54	112	1940
55	114	1934
56	117	1935
57	119	1934
58	121	1940
59	123	1939
60	125	1934
61	128	1939
62	130	1939
63	132	1936
64	134	1940
65	137	1945
66	139	1945
67	142	1947
68	144	1946
69	146	1945
70	148	1942
71	150	1942
72	152	1937
73	154	1936
74	156	1932
75	158	1925
76	160	1924
77	162	1921
78	164	1922
79	166	1917
80	168	1912
81	170	1908
82	172	1905
83	174	1901
84	176	1899
85	178	1895
86	180	1890
87	182	1887
88	184	1885
89	186	1885
90	188	1882
91	190	1879
92	192	1881
93	194	1877
94	196	1874
95	198	1869
96	200	1864
97	202	1860
98	203	1855
99	205	1851
100	208	1859
101	211	1858
102	213	1859
103	215	1860
104	217	1856
105	220	1856
106	222	1856
107	224	1853
108	226	1851
109	228	1847
110	230	1843
111	231	1839
112	233	1833
113	235	1829
114	237	1827
115	239	1823
116	240	1818
117	242	1814
118	244	1810
119	246	1806
120	248	1802
121	249	1798
122	251	1794
123	253	1791
124	255	1788
125	257	1785
126	259	1781
127	261	1778
128	262	1775
129	264	1771
130	266	1770
131	268	1766
132	270	1762
133	272	1758
134	273	1755
135	275	1751
136	277	1747
137	279	1744
138	281	1742
139	283	1741
140	285	1737
141	287	1734
142	289	1733
143	291	1730
144	292	1727
145	294	1724
146	296	1721
147	298	1717
148	299	1712
149	301	1710
150	303	1707
151	305	1703
152	307	1701
153	309	1698
154	310	1694
155	312	1691
156	314	1688
157	316	1686
158	318	1683
159	320	1681
160	322	1678
161	323	1674
162	325	1671
163	327	1669
164	329	1666
165	331	1663
166	332	1660
167	334	1656
168	336	1653
169	338	1650
170	339	1647
171	341	1643
172	343	1640
173	344	1636
174	346	1633
175	348	1630
176	349	1627
177	351	1624
178	353	1621
179	355	1619
180	357	1616
181	359	1614
182	361	1611
183	362	1608
184	364	1605
185	366	1603
186	368	1600
187	370	1598
188	371	1596
189	373	1593
190	375	1590
191	377	1588
192	379	1585
193	381	1583
194	382	1579
195	384	1577
196	386	1576
197	388	1573
198	390	1570
199	392	1568
200	393	1565
201	395	1562
202	397	1559
203	399	1556
204	401	1555
205	403	1554
206	405	1551
207	407	1552
208	409	1550
209	411	1548
210	413	1547
211	416	1547
212	418	1547
213	420	1544
214	422	1541
215	424	1539
216	426	1537
217	428	1535
218	430	1536
219	432	1534
220	434	1531
221	436	1528
222	438	1526
223	440	1524
224	441	1522
225	443	1519
226	446	1518
227	448	1518
228	450	1516
229	452	1514
230	454	1513
231	456	1512
232	461	1517
233	463	1515
234	465	1514
235	467	1513
236	469	1511
237	472	1511
238	474	1509
239	476	1510
240	479	1509
241	481	1507
242	483	1506
243	486	1506
244	488	1505
245	491	1505
246	493	1504
247	496	1505
248	499	1506
249	502	1506
250	504	1505
251	507	1505
252	509	1504
253	511	1503
254	514	1502
255	517	1502
256	519	1501
257	521	1499
258	524	1500
259	527	1500
260	529	1499
261	537	1512
262	539	1511
263	542	1511
264	544	1509
265	549	1515
266	552	1517
267	555	1517
268	558	1517
269	561	1518
270	565	1520
271	568	1522
272	572	1523
273	574	1522
274	577	1522
275	581	1524
276	584	1526
277	588	1529
278	591	1529
279	594	1529
280	597	1528
281	601	1530
282	604	1531
283	609	1535
284	611	1535
285	614	1534
286	616	1532
